Location,Area_sqft,BHK,Bathrooms,Floor,Total_Floors,Age_of_Property,Parking,Lift,Actual_Price
KHARGHAR ,1265.32,2,,22,36.0,13.5,yes,YES,16971841
nerul,1303.62,,2.0,32,31.0,12.4,no,No,11847944
Ghansoli,963.61,2,3.0,7,19.0,8.7,Yes,Yes,18957250
 panvel,992.12,4,2.0,14,10.0,1.5,,YES,18766413
KHARGHAR ,1121.13,4,3.0,11,32.0,2.2,Yes,YES,20748714
Vashi,300.9,4,,,1.0,2.3,Yes,NO,5321582
Nerul,1141.1,2BHK,2.0,2,,6.4,Yes,NO,12712839
 panvel,1198.5,3,3.0,13,5.0,13.8,,No,17071372
Panvel,1278.37,2,2.0,10,33.0,2.5,Yes,Yes,23439976
nerul,1561.72,4,4.0,11,37.0,8.8,Yes,NO,32087001 INR
Kharghar,969.73,,3.0,26,20.0,9.3,No,Yes,15041612
Belapur,-73.35,4,1.0,17,10.0,3.6,No,YES,-1544518
CBD Belapur,132.43,,4.0,31,12.0,7.4,no,,1499590 INR
Vashi,1521.97,2,2.0,5,7.0,14.0,No,,28247653
 panvel,371.76,1,,15,11.0,2.9,yes,,₹6564565
Panvel,422.34,,1.0,21,9.0,12.8,Yes,YES,5099958
CBD Belapur,1029.52,1,1.0,15,8.0,17.8,No,Yes,13348534 INR
Kharghar,935.84,1,,2,15.0,3.9,No,No,9728892
Vashi,927.92,,,31,30.0,10.9,no,Yes,12446158
Vashi,1034.0,2,4.0,22,23.0,11.7,No,,14308839
Nerul,1269.84,3,1.0,15,29.0,7.0,No,YES,19313506
Airoli,605.85,4,4.0,16,22.0,5.5,No,No,8969143
,298.16,,2.0,,27.0,11.3,,Yes,4685160
Vashi,-38.62,4,1.0,23,26.0,2.1,,NO,-1175957
KHARGHAR ,1145.11,2BHK,2.0,10,30.0,3.6,yes,No,13055627
 panvel,1495.55,2BHK,1.0,23,38.0,23.2,,No,16715321 INR
Ghansoli,876.03,,,13,20.0,11.9,Yes,No,11642808
,837.1,2BHK,1.0,19,16.0,14.3,Yes,,10337295
,638.36,2BHK,4.0,7,18.0,9.2,,Yes,9706618
Ghansoli,901.77,4,,8,9.0,0.0,Yes,No,₹13377975
Vashi,420.03,2,,32,34.0,12.9,Yes,,4062210
KHARGHAR ,1070.93,3,4.0,16,27.0,16.3,no,No,16934270
Belapur,981.97,3,,14,35.0,9.9,no,No,20769747
Ulwe,645.44,3,,30,,9.2,No,Yes,8526136
Nerul,758.38,1,1.0,31,39.0,2.6,,No,7336427
Nerul,680.03,4,3.0,19,26.0,5.6,,No,9942367
Belapur,1051.04,4,2.0,21,4.0,11.9,yes,,17975725
,66.76,1,3.0,32,5.0,10.2,yes,NO,1784853
Nerul,862.36,3,1.0,32,12.0,13.0,Yes,No,15910504
Ulwe,1101.89,3,2.0,29,8.0,6.0,yes,NO,11780143
Belapur,663.9,3,2.0,4,29.0,3.8,Yes,No,7989708
Vashi,1472.19,2BHK,3.0,5,16.0,8.1,Yes,,17370680
Panvel,669.79,1,,23,9.0,12.6,yes,NO,12441454 INR
Vashi,582.72,2BHK,,5,36.0,11.8,,,5830986
Vashi,674.74,1,4.0,27,22.0,22.8,,Yes,7988039
 panvel,-1.4,2BHK,3.0,21,32.0,7.5,no,No,₹-18389
Ghansoli,1769.92,2,3.0,30,8.0,8.0,No,,22107136
CBD Belapur,810.79,1,1.0,18,25.0,9.2,,NO,11977609
KHARGHAR ,1688.68,3,4.0,28,25.0,11.5,no,Yes,31235529
KHARGHAR ,759.57,2BHK,4.0,0,6.0,5.1,No,Yes,9104075
Nerul,676.63,,4.0,6,9.0,4.9,Yes,,8668626
CBD Belapur,3189.87,4,1.0,16,22.0,1.3,Yes,,53834313
Vashi,3385.31,4,,20,2.0,1.3,Yes,Yes,43659115
nerul,1115.91,4,2.0,21,9.0,17.6,No,,13505784
Belapur,629.26,2BHK,3.0,6,15.0,8.4,yes,,9028884
KHARGHAR ,5401.59,4,2.0,15,3.0,9.2,yes,NO,69093705
Kharghar,1423.03,2BHK,,2,9.0,7.4,no,Yes,20537792
Ghansoli,87.95,2BHK,1.0,7,34.0,9.4,yes,,718677
Vashi,569.3,3,4.0,24,,18.9,yes,NO,10100267 INR
Ulwe,941.26,1,,8,27.0,12.2,No,No,13301014
Panvel,1322.97,,4.0,17,17.0,5.5,No,Yes,18095015
CBD Belapur,121.53,2BHK,1.0,9,12.0,14.0,yes,,1647793 INR
 panvel,1006.35,3,2.0,0,1.0,2.6,Yes,Yes,14043708
Airoli,1078.31,3,4.0,24,,9.2,Yes,YES,17259664
Belapur,1327.99,1,,25,37.0,6.6,No,Yes,25026215
KHARGHAR ,607.92,4,3.0,4,18.0,24.9,no,Yes,8323583 INR
Nerul,432.13,,2.0,22,20.0,15.0,yes,NO,6119348
Panvel,653.77,4,1.0,1,6.0,7.0,No,No,9758083
KHARGHAR ,583.12,2,,31,38.0,2.6,yes,No,11281278
Vashi,6492.59,2BHK,,5,20.0,0.1,No,YES,98026838
Ghansoli,1327.02,2,4.0,6,8.0,27.5,No,,16109291
CBD Belapur,1095.64,3,2.0,4,,5.1,Yes,Yes,14130868
KHARGHAR ,692.89,3,2.0,5,21.0,5.2,,YES,11982409
Nerul,225.18,1,4.0,22,20.0,11.8,yes,No,3831463
Ghansoli,728.52,2,3.0,Ground,28.0,3.7,no,Yes,12311783
CBD Belapur,1333.01,2BHK,2.0,13,10.0,2.8,yes,,13981002
Panvel,981.56,1,1.0,13,32.0,8.1,Yes,NO,15553894
Kharghar,1656.42,2,1.0,23,20.0,24.7,Yes,,25899575
Belapur,514.16,1,4.0,7,16.0,17.8,No,,8174391
Ghansoli,818.65,1,1.0,11,19.0,10.2,,Yes,13502561
Nerul,1337.13,2,4.0,5,16.0,14.0,No,,24286215
Kharghar,782.89,2BHK,4.0,23,24.0,1.4,Yes,YES,9670521
Ghansoli,993.42,3,2.0,26,33.0,7.8,Yes,,13211469
Panvel,940.11,3,2.0,0,6.0,7.2,No,No,11369920
Vashi,713.48,1,4.0,29,35.0,3.0,,Yes,6959537
Panvel,634.3,,,,31.0,12.5,No,NO,5743876
CBD Belapur,620.72,2,2.0,22,,12.4,yes,No,10886985
Airoli,1056.06,4,,0,33.0,11.9,No,NO,20958670
Vashi,1008.83,4,1.0,15,7.0,11.3,no,Yes,20782802
KHARGHAR ,659.46,1,4.0,21,,5.9,yes,NO,9031445
Nerul,1390.53,2,3.0,29,32.0,1.1,no,Yes,27826920
Vashi,1451.92,,2.0,,4.0,6.6,,YES,18602675
CBD Belapur,1624.86,,1.0,20,28.0,13.3,yes,YES,25727334
Nerul,418.76,3,3.0,27,27.0,11.1,Yes,No,6814215
nerul,1034.56,4,,23,31.0,14.4,yes,,18183359
CBD Belapur,1192.74,1,2.0,28,38.0,20.3,,YES,12513493
Vashi,707.4,2BHK,2.0,1,18.0,10.7,No,No,6913616
Belapur,346.79,3,1.0,23,8.0,14.0,Yes,No,5699938
Airoli,1151.1,4,4.0,23,25.0,7.0,no,YES,25019755
 panvel,1286.92,2BHK,2.0,29,18.0,8.1,,Yes,21853968
Ghansoli,1832.21,2,3.0,5,28.0,15.2,Yes,No,29608780
Nerul,910.66,1,,24,23.0,2.1,no,YES,14964643
Belapur,134.16,,2.0,25,32.0,0.2,,,1440385
Nerul,464.18,,3.0,2,14.0,4.8,yes,No,4110811
CBD Belapur,877.45,4,1.0,11,29.0,5.0,No,YES,14499917
Panvel,1027.06,2,4.0,25,37.0,10.2,,Yes,13709853
Airoli,495.81,,4.0,9,20.0,10.9,,YES,7098612
Kharghar,-211.79,4,,21,4.0,11.5,no,YES,-4499020 INR
 panvel,1489.65,2BHK,1.0,26,3.0,14.3,yes,No,₹14840349
Ulwe,912.22,,2.0,33,35.0,10.5,yes,No,14843842
,736.34,2BHK,2.0,29,24.0,1.7,,NO,7435056
nerul,771.11,,4.0,9,4.0,2.4,yes,No,8320345
Ulwe,569.23,3,3.0,28,30.0,10.6,Yes,No,9534200
Nerul,907.56,2,2.0,2,15.0,15.4,No,Yes,16181090
KHARGHAR ,1127.4,4,3.0,,1.0,1.1,no,YES,15112517
KHARGHAR ,1298.3,2,3.0,19,11.0,13.7,no,,14601909 INR
Ghansoli,525.0,2,2.0,30,,7.3,,NO,7200525
Airoli,863.76,,1.0,22,15.0,5.8,yes,No,14972812 INR
Kharghar,362.99,,,8,28.0,9.0,No,,6059624
Vashi,994.72,2BHK,,26,1.0,14.0,yes,No,9330374
Kharghar,545.91,4,3.0,,25.0,5.0,Yes,,11796518
 panvel,563.25,3,,32,13.0,15.1,,YES,8743140
Nerul,444.99,,4.0,12,19.0,1.9,yes,NO,4513383
 panvel,2919.05,,4.0,27,18.0,8.8,Yes,Yes,₹47420366
Ghansoli,395.58,,3.0,10,30.0,9.1,No,,6691435
Ghansoli,522.09,4,1.0,13,13.0,1.2,yes,Yes,8747720
 panvel,648.63,1,3.0,34,27.0,10.8,,No,8930428
Airoli,356.38,1,2.0,24,7.0,6.7,yes,,3535044
Vashi,1179.38,2,,21,21.0,17.0,no,YES,15710049
 panvel,1215.46,2BHK,4.0,10,25.0,14.4,,NO,18271593
,1027.73,1,4.0,23,4.0,7.1,No,Yes,18946353
Kharghar,365.2,2BHK,2.0,7,5.0,16.0,No,No,3919455
Airoli,699.02,1,1.0,20,36.0,8.4,no,YES,6678698
,661.37,3,,22,34.0,8.8,No,,13016118
,1875.86,,1.0,,25.0,3.2,no,Yes,21513115
CBD Belapur,643.98,1,,11,26.0,15.0,,No,11161969
CBD Belapur,1153.39,1,3.0,4,30.0,6.9,no,No,21207751
Ulwe,1453.69,4,2.0,28,8.0,14.9,no,,30652856
nerul,416.16,2,1.0,23,37.0,5.7,no,No,7743841
Airoli,853.88,2,3.0,20,26.0,3.5,no,No,8416452
 panvel,517.43,4,1.0,30,33.0,10.0,,NO,6272748
Airoli,1195.38,,4.0,1,12.0,7.8,,No,13202559
Panvel,588.37,3,2.0,33,,1.3,no,Yes,10102471
Ghansoli,195.74,1,,28,24.0,11.1,yes,Yes,2339495
nerul,205.22,4,4.0,12,37.0,8.7,yes,YES,3040370
Ulwe,1348.17,1,3.0,16,39.0,11.5,,No,14350479
Airoli,1711.02,3,2.0,19,17.0,25.2,Yes,YES,25967260
Kharghar,1047.25,2,4.0,19,18.0,7.6,yes,Yes,20422314
Kharghar,4551.65,3,2.0,12,22.0,19.1,No,NO,65305014
Ghansoli,1163.82,2,2.0,6,19.0,12.0,yes,Yes,19405632
Airoli,725.08,2BHK,3.0,2,30.0,1.9,,Yes,8589356
Kharghar,95.68,,3.0,5,39.0,12.6,,NO,899463
KHARGHAR ,709.8,2,2.0,25,11.0,8.3,No,,7186796
 panvel,1468.35,2,4.0,27,39.0,3.7,yes,Yes,19925517
 panvel,614.31,3,,11,33.0,6.1,Yes,YES,11091795
Ulwe,812.85,2BHK,1.0,,27.0,9.7,no,YES,9122759
Airoli,896.95,3,,19,38.0,2.2,No,,13627499
,822.07,3,3.0,16,37.0,8.9,Yes,No,9832374
Ulwe,668.66,,,23,37.0,4.8,No,Yes,₹10743122
,438.69,2,4.0,26,36.0,6.3,No,YES,8055732
nerul,1146.81,,4.0,31,,20.4,,NO,19146063
 panvel,1000.57,2,1.0,31,17.0,0.9,no,YES,15970575
KHARGHAR ,1166.58,2BHK,,9,16.0,1.5,No,YES,15343160
Ghansoli,1055.71,1,1.0,19,9.0,3.4,yes,NO,14456867
Ghansoli,1344.18,2,,2,38.0,13.2,No,YES,25683849
 panvel,870.99,3,1.0,24,20.0,3.4,Yes,No,16246411
Vashi,1126.19,4,,18,33.0,16.4,no,NO,18817602
Ulwe,240.79,2,2.0,24,25.0,15.6,No,YES,3384933
KHARGHAR ,1378.15,,4.0,24,21.0,15.6,no,No,12879613 INR
Panvel,88.64,3,3.0,21,36.0,4.2,,No,464432
Airoli,1236.53,1,3.0,28,30.0,28.4,yes,YES,17618234
Belapur,755.73,4,3.0,24,5.0,2.0,No,,12860414
,1435.27,4,3.0,8,20.0,11.2,Yes,YES,28102785
KHARGHAR ,690.86,1,4.0,6,8.0,7.7,,NO,7589874
Belapur,833.25,2,4.0,18,11.0,2.3,Yes,No,14466756
Ulwe,815.25,2BHK,,,8.0,17.1,no,,11951338
Panvel,208.79,1,2.0,28,8.0,7.3,no,Yes,2135846
Ulwe,1236.68,3,3.0,17,30.0,0.5,Yes,,24394507
Ulwe,304.58,2,1.0,23,1.0,16.8,no,Yes,5600535
Ulwe,1369.82,1,1.0,5,23.0,4.8,,Yes,14039147
Panvel,1199.56,,3.0,30,25.0,1.9,yes,No,12810285
 panvel,753.68,3,2.0,Ground,26.0,3.5,no,NO,12539597
Belapur,553.39,2,1.0,2,25.0,8.6,No,,8964340
KHARGHAR ,5637.48,4,3.0,8,21.0,5.2,,YES,103974316
Belapur,950.48,4,1.0,32,25.0,3.1,No,Yes,18331469
Ghansoli,1015.28,,4.0,9,9.0,3.7,yes,Yes,10229745
KHARGHAR ,1530.03,3,3.0,5,6.0,0.4,No,YES,₹27323029
Nerul,771.29,4,4.0,30,19.0,15.2,Yes,No,13998842
Belapur,1096.31,2BHK,,1,3.0,15.0,,No,14733383
Ulwe,632.73,3,2.0,12,16.0,13.2,No,No,8043762
Ulwe,128.85,1,,31,39.0,0.9,,Yes,3008400
Nerul,1109.38,2,4.0,21,29.0,9.5,yes,No,12436033
KHARGHAR ,1172.73,2,2.0,19,29.0,6.7,yes,YES,13695396
Ghansoli,709.32,,,14,21.0,19.1,Yes,No,6896106
Nerul,1328.37,2BHK,1.0,2,18.0,13.7,,,14758426
,1220.05,2,1.0,5,29.0,2.3,Yes,,17264166
Ulwe,621.93,2,3.0,31,10.0,0.5,,NO,11615881
Vashi,1427.58,1,2.0,6,19.0,6.0,yes,No,24082437
Panvel,855.39,,1.0,3,,0.1,no,,9859374
nerul,1187.01,2,,11,29.0,7.3,Yes,No,12893194
Belapur,1073.25,1,,1,16.0,12.4,,YES,13202992
Kharghar,1262.43,4,3.0,16,5.0,8.1,no,Yes,₹25554649
 panvel,1336.37,2BHK,2.0,21,6.0,8.5,,No,21282349
Kharghar,7398.97,3,,24,29.0,2.3,Yes,YES,₹104748766
nerul,969.72,,2.0,27,11.0,12.6,yes,Yes,10803564
nerul,353.23,3,3.0,27,25.0,11.0,yes,NO,6000048
Airoli,1222.94,1,,16,37.0,13.7,No,NO,14337806
Ghansoli,1862.76,2BHK,,33,27.0,5.1,yes,,24876160
Ghansoli,806.15,3,,6,32.0,9.8,Yes,No,12605937
KHARGHAR ,97.77,2BHK,4.0,20,29.0,12.6,no,No,1436310
Vashi,1090.25,2BHK,4.0,Ground,5.0,10.9,yes,Yes,16942680
Ghansoli,1307.96,1,2.0,5,6.0,1.8,,NO,17684818
Ghansoli,1380.14,4,2.0,18,13.0,9.3,no,No,17512565
CBD Belapur,425.33,1,2.0,22,25.0,13.2,no,No,5262624
Airoli,254.37,4,1.0,14,28.0,14.7,no,YES,2853090
CBD Belapur,1037.41,3,1.0,0,10.0,14.1,No,YES,15496561
Nerul,1692.99,1,4.0,31,22.0,2.6,Yes,No,30049593
Vashi,742.09,,1.0,1,6.0,0.5,yes,No,8202895
 panvel,506.76,4,,12,19.0,13.9,yes,No,7927125
CBD Belapur,895.28,2BHK,3.0,10,17.0,4.2,no,YES,11460526
CBD Belapur,854.93,2,4.0,32,8.0,8.5,,YES,16001089
Belapur,1277.11,,1.0,14,37.0,16.3,no,YES,13782452
,1659.08,2,4.0,13,13.0,8.6,no,NO,29922360
Panvel,1509.74,1,3.0,9,25.0,13.5,No,NO,15623695
Airoli,4128.55,1,2.0,26,34.0,4.2,Yes,Yes,67081184
Belapur,1380.4,4,,23,,8.1,yes,NO,22066760
Ghansoli,886.59,2,,27,11.0,7.8,Yes,Yes,9627599
Belapur,1155.45,2,4.0,1,,8.2,No,Yes,19565076
Ulwe,1180.62,4,,14,,9.9,Yes,,18788851
nerul,736.3,1,2.0,32,11.0,8.9,yes,,14316510
Vashi,331.71,2BHK,2.0,34,19.0,17.5,No,YES,4361539
Nerul,1067.58,2BHK,3.0,0,1.0,9.0,no,YES,11800812
 panvel,1212.54,2BHK,4.0,14,24.0,13.0,,,20587671
Nerul,2021.24,3,,,17.0,5.1,no,NO,21914819
Airoli,91.26,3,,12,37.0,9.4,,,2370289
 panvel,707.32,3,2.0,4,2.0,9.3,No,,9922089
Airoli,960.15,,4.0,23,16.0,3.7,no,NO,16215457
Ulwe,1266.15,,2.0,14,22.0,15.8,no,NO,12742206
Ulwe,813.8,3,1.0,26,17.0,7.9,no,No,₹12642992
KHARGHAR ,2125.1,,2.0,Ground,11.0,2.8,no,YES,19900877
KHARGHAR ,1104.19,2,1.0,29,12.0,10.5,No,YES,11004956
KHARGHAR ,919.0,2BHK,1.0,9,19.0,7.6,No,Yes,8510853 INR
 panvel,997.84,2BHK,4.0,16,38.0,12.9,,No,15206168
Kharghar,282.09,,2.0,23,33.0,18.6,No,Yes,4543744
CBD Belapur,1100.88,3,3.0,0,14.0,17.4,No,Yes,19146857
Belapur,350.05,,,32,25.0,8.0,Yes,NO,4273359
Ulwe,1005.23,1,1.0,26,4.0,3.3,No,Yes,11955031
Airoli,1053.95,1,3.0,13,16.0,12.7,Yes,YES,13986244
KHARGHAR ,1343.62,2BHK,1.0,20,16.0,18.4,Yes,YES,20996050 INR
Belapur,1134.02,2,2.0,22,13.0,17.2,,YES,12172580
KHARGHAR ,1546.29,,3.0,11,36.0,8.9,,YES,27437551
Ulwe,913.53,,1.0,13,14.0,5.4,no,Yes,14531832
Ulwe,1235.64,2,2.0,3,7.0,7.1,,,12153214
Panvel,789.17,2BHK,2.0,7,33.0,7.5,No,,13839792
Vashi,282.05,,1.0,8,16.0,9.8,Yes,YES,3701975
,323.74,1,,20,32.0,10.0,,Yes,4197564
 panvel,977.14,,1.0,24,25.0,13.1,no,YES,10674665
nerul,1708.72,1,4.0,,13.0,6.5,yes,Yes,20429700 INR
KHARGHAR ,862.45,,4.0,18,10.0,12.6,Yes,YES,11795952
nerul,4145.06,2BHK,2.0,,7.0,5.7,no,No,56395024
Kharghar,1297.84,2BHK,2.0,28,3.0,16.1,no,YES,18970194
Ulwe,2990.07,3,4.0,16,36.0,11.1,yes,,55030925
CBD Belapur,805.89,1,2.0,10,2.0,11.7,no,,8253669
Panvel,954.46,4,,1,31.0,12.3,,No,14746774
nerul,687.43,2,4.0,27,27.0,6.9,Yes,Yes,9013010
Belapur,431.31,3,3.0,8,39.0,7.8,,Yes,5508989
KHARGHAR ,529.94,1,3.0,24,39.0,12.5,yes,NO,7735492
nerul,629.24,3,4.0,12,14.0,6.7,Yes,,7110691
Ulwe,-8.43,4,2.0,13,31.0,3.9,no,Yes,-1202867
Airoli,8472.75,2,4.0,11,13.0,9.7,yes,NO,105722413
Ghansoli,1196.7,1,3.0,6,23.0,4.2,Yes,No,12048732
Ulwe,108.86,1,2.0,7,30.0,1.9,Yes,No,895211
 panvel,429.92,,3.0,34,31.0,17.3,no,NO,4706233
Vashi,82.12,,3.0,10,29.0,12.9,,NO,727600
 panvel,847.34,2,4.0,8,13.0,5.0,yes,No,11752618
 panvel,353.02,,3.0,32,19.0,2.0,No,YES,5451755
Ulwe,232.77,1,2.0,27,2.0,6.3,Yes,No,2835586
Panvel,1302.7,2,,31,6.0,1.9,Yes,Yes,15604654
Ghansoli,1331.1,2BHK,4.0,9,32.0,3.3,No,NO,17586979
Panvel,650.26,4,1.0,10,8.0,6.7,no,YES,9440187
Kharghar,864.62,,4.0,18,26.0,9.9,,Yes,11820390
Ulwe,419.8,2BHK,3.0,4,31.0,12.2,,,4569608
,1054.33,2,3.0,19,7.0,7.9,Yes,NO,10871879
nerul,851.25,,1.0,34,26.0,20.9,No,No,13191692
 panvel,456.6,2BHK,,2,39.0,0.9,no,No,6369746
Panvel,455.33,2BHK,,11,8.0,5.4,yes,No,4417179
Vashi,1003.77,1,,17,22.0,11.5,Yes,YES,16844616
    ,878.19,1,4.0,5,23.0,13.4,No,No,15260458
    CBD Belapur,1240.72,4,4.0,19,26.0,4.2,No,YES,26906861
    Ghansoli,802.17,4,,,39.0,0.2,,,15292698
    Panvel,1150.27,3,3.0,,20.0,8.3,no,YES,13429997
    Ulwe,933.47,1,2.0,6,24.0,8.1,No,,16971693
    Ulwe,840.86,3,4.0,10,18.0,13.8,yes,Yes,₹11618478
    Vashi,54.86,1,,22,2.0,6.0,yes,YES,975419
    ,1048.76,2BHK,,30,20.0,1.2,No,No,15423200
    Kharghar,1062.81,2,1.0,34,2.0,7.1,yes,,15371966
    Kharghar,696.69,1,4.0,11,5.0,7.4,no,No,9388518
    Nerul,823.57,4,3.0,5,9.0,9.9,no,YES,16599303
    Airoli,892.36,2,,9,8.0,0.7,,YES,14608074
    Nerul,114.57,4,,24,36.0,0.7,Yes,YES,1716959
    Kharghar,929.0,2BHK,2.0,15,6.0,7.1,yes,YES,11979195
    KHARGHAR ,1175.71,2,3.0,20,39.0,5.0,No,NO,12102117
Kharghar,1842.52,3,3.0,18,18.0,11.8,,NO,27719758
Belapur,228.45,,4.0,14,6.0,6.4,yes,YES,2826294
Belapur,92.22,2BHK,1.0,25,29.0,19.4,no,,112277
Ulwe,988.29,2,3.0,2,7.0,4.4,Yes,NO,17223595
Ghansoli,552.36,1,,5,22.0,7.8,,,8678291
Belapur,372.58,,4.0,5,22.0,12.1,,Yes,3470891
Nerul,713.49,1,1.0,24,27.0,3.1,no,Yes,9117343
,1192.73,4,2.0,,31.0,13.8,yes,NO,12275997
Kharghar,3920.17,2BHK,2.0,9,38.0,17.0,yes,Yes,57847570
Ghansoli,1115.26,4,,22,30.0,6.6,yes,NO,16480448 INR
Panvel,521.26,3,2.0,5,8.0,3.5,Yes,No,8701633
Kharghar,138.93,2BHK,1.0,15,27.0,2.7,No,YES,1820950
,480.96,1,4.0,18,39.0,7.9,No,Yes,8665278
Airoli,536.22,2,1.0,18,6.0,0.5,Yes,YES,6224682
Nerul,882.65,2,1.0,4,1.0,6.0,Yes,YES,11531369
,1007.51,,2.0,8,23.0,7.5,Yes,,17987754
Ghansoli,1258.89,,1.0,15,,5.4,no,NO,₹22644323
Kharghar,1073.93,1,,7,15.0,11.8,,Yes,₹12348233
Vashi,57.87,3,,12,12.0,19.3,No,Yes,-464885
Kharghar,1244.57,3,4.0,30,9.0,4.2,no,No,₹18459795
Panvel,858.25,3,4.0,28,21.0,6.5,No,NO,17654989
KHARGHAR ,3031.53,1,4.0,34,7.0,6.8,no,,52413390 INR
Ghansoli,1134.11,3,2.0,12,23.0,9.2,no,NO,18605602
CBD Belapur,1060.72,,2.0,12,34.0,18.0,yes,No,16039115 INR
,1759.72,3,2.0,7,9.0,0.2,No,Yes,19625559
,1336.78,2BHK,2.0,27,21.0,11.3,No,Yes,16149120
Airoli,491.64,1,1.0,12,16.0,11.1,,,8962423
Vashi,938.46,1,4.0,3,32.0,16.0,yes,Yes,17197580
Ghansoli,87.95,2BHK,1.0,7,34.0,9.4,yes,,718677
 panvel,1519.85,,,27,14.0,17.3,Yes,YES,18804405
Ulwe,1038.63,2BHK,1.0,15,23.0,9.9,,NO,10320009
Kharghar,1320.64,,,8,13.0,1.4,No,NO,15110282
Ulwe,777.94,,2.0,29,8.0,8.3,,NO,11460667 INR
nerul,583.49,,1.0,29,34.0,16.1,yes,,6600229
Ulwe,443.52,4,4.0,8,29.0,18.5,Yes,No,6221211
,-112.07,2,4.0,31,31.0,10.1,No,NO,-1527282
